country,n_articles
China,27
United States,26
Singapore,23
Italy,19
United Kingdom,19
Croatia,17
Netherlands,15
Germany,13
Colombia,11
Indonesia,10
Spain,10
South Korea,9
Hong Kong,8
France,8
India,7
Finland,7
Belgium,7
Brazil,6
Malaysia,6
Turkey,6
UAE,6
Portugal,6
Chile,6
Montenegro,6
Argentina,5
Sweden,5
Jamaica,5
Australia,5
Panama,4
Taiwan,4
Mexico,4
Poland,4
Japan,4
Greece,4
Costa Rica,3
Ghana,3
Canada,3
New Zealand,3
Peru,3
Norway,3
Russia,3
Senegal,3
Benin,3
Morocco,3
Switzerland,3
Slovenia,2
Egypt,2
Uruguay,2
Ukraine,2
Congo,2
Djibouti,2
Israel,2
Togo,2
Vietnam,2
Romania,2
Thailand,2
Azerbaijan,2
Guatemala,1
Honduras,1
Nicaragua,1
El Salvador,1
Tanzania,1
Malta,1
Oman,1
South Africa,1
Ecuador,1
Trinidad and Tobago,1
Kuwait,1
Macao,1
Haiti,1
Armenia,1
Kazakhstan,1
Mauritius,1
Saudi Arabia,1
Philippines,1
Kenya,1
Guadeloupe,1
Cameroon,1
Estonia,1
Latvia,1
Denmark,1
